,calc_temp function,alpha,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
0,calc_temperature_1,,615,16,156,19,4854,48,900,47,133,32,96358,126,6001,91,1812,77,42166,155,20690,142,1868,78,523059,301,42773,216,24575,181,244571,318,114464,279,13425,164,2122369,596,370035,446,155064,367,1296440,650
1,calc_temperature_1,,615,16,179,19,4869,48,937,47,196,32,96482,126,5514,90,1824,78,41367,155,27047,144,1472,78,500669,299,46757,217,27219,182,243798,318,110714,278,16166,165,2080717,594,334082,443,172079,371,1249881,647
2,calc_temperature_1,,615,16,238,19,4854,48,1650,48,202,32,96620,126,7009,91,1955,78,45310,155,22694,143,1812,78,500676,299,54190,219,28691,183,240266,318,106657,278,14305,164,2057272,594,330690,443,171815,371,1249719,649
3,calc_temperature_1,,615,16,162,19,4863,48,1280,48,202,32,96198,126,7078,91,2503,78,40699,155,20851,142,2576,79,512344,300,42522,216,28215,182,228974,317,104587,278,13669,164,2097626,595,312767,440,175861,371,1319148,650
4,calc_temperature_1,,615,16,163,19,4863,48,1072,47,227,32,96279,126,6690,91,3168,79,41761,155,29569,145,1979,78,513534,300,36741,214,25532,181,222095,315,108544,280,13334,163,2134888,597,357936,446,155071,370,1162215,643
5,calc_temperature_2,,4392,20,4778,24,27129,57,23398,58,9817,40,154592,135,137384,118,63885,98,326950,194,262406,178,44114,93,748356,315,782091,282,325966,220,1207715,381,836541,338,176947,191,3162881,631,2890103,550,1484107,452,4478851,751
6,calc_temperature_2,,4392,20,4778,24,27129,57,23398,58,9817,40,154592,135,124299,116,63885,98,334606,195,262393,178,52075,95,775902,317,800174,283,310817,219,1207715,381,851111,339,174906,191,3152985,631,2884871,550,1491627,452,4478851,751
7,calc_temperature_2,,4392,20,4778,24,26756,57,23398,58,9817,40,154592,135,123037,116,63885,98,335461,195,271617,179,51942,95,762803,316,795338,283,327014,220,1154775,378,848720,339,165660,189,3162881,631,2890103,550,1491627,452,4442885,750
8,calc_temperature_2,,4092,20,4600,24,24915,56,20507,57,9817,40,154592,135,137384,118,63345,98,328826,194,256887,177,51343,95,775902,317,796806,283,327014,220,1207715,381,851111,339,176947,191,3146084,630,2857569,549,1424501,449,4418962,750
9,calc_temperature_2,,3347,19,4778,24,27129,57,23398,58,9817,40,154592,135,137384,118,62927,98,335461,195,273230,179,50163,95,774475,317,800174,283,325703,220,1207715,381,843621,339,171186,190,3158145,631,2853456,549,1491627,452,4454429,750
10,calc_temperature_2,0.99,623,16,319,19,8597,50,5603,51,1304,34,102621,127,27138,98,14399,84,91842,164,93876,157,13396,84,556252,303,267437,246,123437,200,547842,341,315528,300,55546,173,2327584,603,1289862,496,583790,403,2432767,689
11,calc_temperature_2,0.99,692,16,670,20,5638,48,4492,50,1906,35,102843,127,27866,98,14638,84,106402,166,79659,154,11624,84,556437,303,225764,241,110539,197,501066,338,325964,302,56702,174,2367190,603,1208389,491,624282,407,2774550,702
12,calc_temperature_2,0.99,655,16,604,20,9083,50,3536,49,1070,34,98622,126,29153,99,11369,83,98892,165,75921,153,9376,82,546361,302,206698,238,96194,194,594269,344,323402,300,56083,175,2340776,603,1287219,496,540113,399,2427421,691
13,calc_temperature_2,0.99,1210,17,321,19,7231,49,4094,50,1465,34,103038,127,23047,97,14846,84,101946,164,80187,153,9654,82,549116,302,207969,239,98504,196,545799,343,327177,301,68369,177,2392473,605,1172865,491,544736,400,2632526,698
14,calc_temperature_2,0.99,1197,17,601,20,7524,49,5260,51,1042,33,104386,127,26259,98,14576,85,94458,164,97485,157,8520,81,554456,303,225977,240,110726,197,564719,343,332973,302,55173,172,2367339,604,1290499,496,618436,407,2777875,704
15,calc_temperature_2,0.999,615,16,196,19,4911,48,1477,48,188,32,96796,126,6759,91,2074,78,41594,155,24166,143,1215,77,509946,300,49714,217,21751,180,210500,314,95027,276,14302,165,2123956,596,335884,443,173457,370,1259963,648
16,calc_temperature_2,0.999,615,16,218,19,5005,48,1401,48,231,32,96221,126,8826,92,2454,78,41691,155,23823,143,1948,77,515213,300,50360,218,21959,180,226236,316,106956,278,13043,164,2158725,598,316157,442,146639,367,1186361,646
17,calc_temperature_2,0.999,615,16,184,19,4903,48,901,47,279,32,96302,126,11199,94,3011,79,40807,154,25904,144,1393,77,511276,300,46656,216,27070,181,250076,320,89101,275,11724,163,2144483,597,349587,445,168691,369,1240794,649
18,calc_temperature_2,0.999,615,16,177,19,4974,48,1480,48,276,32,96327,126,6043,90,2348,78,37215,154,22964,143,2419,79,501839,299,49353,217,29348,181,241698,319,95743,276,11982,163,2075542,594,351773,445,171327,370,1161029,643
19,calc_temperature_2,0.999,615,16,190,19,4914,48,1661,48,268,32,96300,126,5021,90,2422,78,37752,153,26319,144,1225,77,501079,299,53025,218,24426,181,241206,318,113004,279,15559,165,2109516,596,353411,444,160119,370,1308719,651
20,calc_temperature_2,0.98,1236,17,835,20,7944,49,7751,52,1897,34,103922,127,42201,102,18211,86,134896,170,94646,156,13515,84,571669,304,317087,250,133301,200,702557,353,430301,310,79701,177,2598645,612,1773676,517,684236,410,2943463,705
21,calc_temperature_2,0.98,1231,17,354,19,9577,50,6669,51,1387,34,104593,127,39164,101,18442,86,127196,169,94900,156,15853,85,556934,303,309317,249,143871,202,615035,345,416276,310,65318,174,2537912,610,1735526,514,815549,419,2903252,704
22,calc_temperature_2,0.98,1194,17,692,20,9213,50,6014,51,2200,35,104564,127,48564,104,19404,86,128071,169,110916,159,14010,83,590542,305,350459,252,119042,197,720398,353,464937,314,83473,178,2522223,609,1555806,506,767470,415,3192874,718
23,calc_temperature_2,0.98,1259,17,855,20,9640,50,7821,52,2145,35,104742,127,37548,101,20187,87,147971,173,92284,156,11366,82,594216,306,387957,256,130578,200,696310,349,445031,311,70113,177,2614703,613,1651606,511,742512,413,3206835,716
24,calc_temperature_2,0.98,703,16,849,20,7317,49,8353,52,1577,34,103705,127,41216,102,19181,86,120468,167,126478,161,15321,84,601077,306,352429,252,123191,199,710513,352,458563,311,85466,179,2430780,606,1721899,513,866591,422,2941768,706
25,calc_temperature_2,0.95,720,16,1483,21,11284,51,9222,52,3565,36,109789,128,63480,107,37709,92,192846,179,149995,164,19592,85,673589,310,463050,262,202076,207,896121,364,524786,319,101690,180,2836143,620,2060567,524,948020,425,3749141,734
26,calc_temperature_2,0.95,1343,17,1247,21,11922,51,10853,53,2831,35,121842,130,53368,104,30261,89,158631,173,164641,166,20770,85,634187,308,463659,261,221800,211,872469,363,549406,318,111698,183,2719440,616,2026655,523,969391,427,3762189,731
27,calc_temperature_2,0.95,1312,17,1307,21,15636,53,13350,55,2113,34,111548,128,60553,106,32807,91,190123,179,163605,166,17170,85,659465,309,532004,267,218184,211,858709,362,504499,317,116425,182,2730090,616,2326016,534,963833,427,3762921,733
28,calc_temperature_2,0.95,1463,17,955,20,12059,51,13155,55,3294,36,115326,129,54579,104,28246,89,164348,174,146514,164,20690,87,637247,308,426082,258,175180,205,849844,362,602890,325,102068,181,2765265,618,2286776,532,1065917,432,3658207,730
29,calc_temperature_2,0.95,2051,18,1529,21,14601,52,10724,54,2603,35,105437,127,59425,105,27582,90,179019,176,140568,163,19712,86,639915,308,487275,264,190359,208,886856,362,592625,321,118379,184,2715057,615,2287623,533,1000401,429,3751196,732
